2025-05-20 19:42:25,987 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_3245 registered
2025-05-20 19:42:25,987 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_3245 registered
2025-05-20 19:42:26,194 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_3245 logged in
2025-05-20 19:42:26,194 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_3245 logged in
2025-05-20 19:44:29,074 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:44:29,074 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:44:29,277 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_5525 registered
2025-05-20 19:44:29,277 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_5525 registered
2025-05-20 19:44:29,477 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_5525 logged in
2025-05-20 19:44:29,477 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_5525 logged in
2025-05-20 19:44:29,683 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_5525 logged in
2025-05-20 19:44:29,683 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_5525 logged in
2025-05-20 19:44:38,376 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:44:38,376 - SECURITY | Type: LOGIN_FAILED | Severity: WARNING | Details: Failed login attempt for user admin
2025-05-20 19:46:03,877 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:46:03,877 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:47:14,797 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:47:14,797 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:49:48,297 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testcurl registered
2025-05-20 19:49:48,297 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testcurl registered
2025-05-20 19:58:28,545 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:58:28,545 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:59:04,351 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:59:04,351 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 19:59:04,542 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_7610 registered
2025-05-20 19:59:04,542 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_7610 registered
2025-05-20 19:59:04,734 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_7610 logged in
2025-05-20 19:59:04,734 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_7610 logged in
2025-05-20 19:59:04,931 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_7610 logged in
2025-05-20 19:59:04,931 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_7610 logged in
2025-05-20 20:02:39,822 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 20:02:39,822 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 20:02:40,351 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_1912 registered
2025-05-20 20:02:40,351 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_1912 registered
2025-05-20 20:02:40,552 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_1912 logged in
2025-05-20 20:02:40,552 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_1912 logged in
2025-05-20 20:02:40,764 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_1912 logged in
2025-05-20 20:02:40,764 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User testuser_1912 logged in
2025-05-20 20:02:50,773 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 20:02:50,773 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 20:26:15,380 - SECURITY | Type: STARTUP | Severity: INFO | Details: API Server started, version=3.0.0
2025-05-20 20:29:17,023 - SECURITY | Type: STARTUP | Severity: INFO | Details: API Server started, version=3.0.0
2025-05-20 20:29:51,943 - SECURITY | Type: LOGIN_SUCCESS | Severity: INFO | Details: User admin logged in
2025-05-20 20:29:52,156 - SECURITY | Type: USER_REGISTERED | Severity: INFO | Details: User testuser_5369 registered
